"","perf_metric","perf_metric_diff","pvalue","names","method","perf_metric_name","seed"
"62",1,0,1,"V1053","glmnet","AUC",2019
"63",1,0,1,"V1054","glmnet","AUC",2019
"64",1,0,1,"V1055","glmnet","AUC",2019
"65",1,0,1,"V1056","glmnet","AUC",2019
"66",1,0,1,"V1057","glmnet","AUC",2019
"67",1,0,1,"V1058","glmnet","AUC",2019
"68",1,0,1,"V1059","glmnet","AUC",2019
"69",1,0,1,"V106","glmnet","AUC",2019
"70",1,0,1,"V1060","glmnet","AUC",2019
"71",1,0,1,"V1061","glmnet","AUC",2019
"72",1,0,1,"V1062","glmnet","AUC",2019
"73",1,0,1,"V1063","glmnet","AUC",2019
"74",1,0,1,"V1064","glmnet","AUC",2019
"75",1,0,1,"V1065","glmnet","AUC",2019
"76",1,0,1,"V1066","glmnet","AUC",2019
"77",1,0,1,"V1067","glmnet","AUC",2019
"78",1,0,1,"V1068","glmnet","AUC",2019
"79",1,0,1,"V1069","glmnet","AUC",2019
"80",1,0,1,"V107","glmnet","AUC",2019
"81",1,0,1,"V1070","glmnet","AUC",2019
"82",1,0,1,"V1071","glmnet","AUC",2019
"83",1,0,1,"V1072","glmnet","AUC",2019
"84",1,0,1,"V1073","glmnet","AUC",2019
"85",1,0,1,"V1074","glmnet","AUC",2019
"86",1,0,1,"V1075","glmnet","AUC",2019
"87",1,0,1,"V1076","glmnet","AUC",2019
"88",1,0,1,"V1077","glmnet","AUC",2019
"89",1,0,1,"V1078","glmnet","AUC",2019
"90",1,0,1,"V1079","glmnet","AUC",2019
"91",1,0,1,"V108","glmnet","AUC",2019
"92",1,0,1,"V1080","glmnet","AUC",2019
"93",1,0,1,"V1081","glmnet","AUC",2019
"94",1,0,1,"V1082","glmnet","AUC",2019
"95",1,0,1,"V1083","glmnet","AUC",2019
"96",1,0,1,"V1084","glmnet","AUC",2019
"97",1,0,1,"V1085","glmnet","AUC",2019
"98",1,0,1,"V1086","glmnet","AUC",2019
"99",1,0,1,"V1087","glmnet","AUC",2019
"100",1,0,1,"V1088","glmnet","AUC",2019
"101",1,0,1,"V1089","glmnet","AUC",2019
"102",1,0,1,"V109","glmnet","AUC",2019
"103",1,0,1,"V1090","glmnet","AUC",2019
"104",1,0,1,"V1091","glmnet","AUC",2019
"105",1,0,1,"V1092","glmnet","AUC",2019
"106",1,0,1,"V1093","glmnet","AUC",2019
"107",1,0,1,"V1094","glmnet","AUC",2019
"108",1,0,1,"V1095","glmnet","AUC",2019
"109",1,0,1,"V1096","glmnet","AUC",2019
"110",1,0,1,"V1097","glmnet","AUC",2019
"111",1,0,1,"V1098","glmnet","AUC",2019
"112",1,0,1,"V1099","glmnet","AUC",2019
"113",1,0,1,"V11","glmnet","AUC",2019
"114",1,0,1,"V110","glmnet","AUC",2019
"115",1,0,1,"V1100","glmnet","AUC",2019
"116",1,0,1,"V1101","glmnet","AUC",2019
"117",1,0,1,"V1102","glmnet","AUC",2019
"118",1,0,1,"V1103","glmnet","AUC",2019
"119",1,0,1,"V1104","glmnet","AUC",2019
"120",1,0,1,"V1105","glmnet","AUC",2019
"121",1,0,1,"V1106","glmnet","AUC",2019
"122",1,0,1,"V1107","glmnet","AUC",2019
"123",1,0,1,"V1108","glmnet","AUC",2019
"124",1,0,1,"V1109","glmnet","AUC",2019
"125",1,0,1,"V111","glmnet","AUC",2019
"126",1,0,1,"V1110","glmnet","AUC",2019
"127",1,0,1,"V1111","glmnet","AUC",2019
"128",1,0,1,"V1112","glmnet","AUC",2019
"129",1,0,1,"V1113","glmnet","AUC",2019
"130",1,0,1,"V1114","glmnet","AUC",2019
"131",1,0,1,"V1115","glmnet","AUC",2019
"132",1,0,1,"V1116","glmnet","AUC",2019
"133",1,0,1,"V1117","glmnet","AUC",2019
"134",1,0,1,"V1118","glmnet","AUC",2019
"135",1,0,1,"V1119","glmnet","AUC",2019
"136",1,0,1,"V112","glmnet","AUC",2019
"137",1,0,1,"V1120","glmnet","AUC",2019
"138",1,0,1,"V1121","glmnet","AUC",2019
"139",1,0,1,"V1122","glmnet","AUC",2019
"140",1,0,1,"V1123","glmnet","AUC",2019
"141",1,0,1,"V1124","glmnet","AUC",2019
"142",1,0,1,"V1125","glmnet","AUC",2019
"143",1,0,1,"V1126","glmnet","AUC",2019
"144",1,0,1,"V1127","glmnet","AUC",2019
"145",1,0,1,"V1128","glmnet","AUC",2019
"146",1,0,1,"V1129","glmnet","AUC",2019
"147",1,0,1,"V113","glmnet","AUC",2019
"148",1,0,1,"V1130","glmnet","AUC",2019
"149",1,0,1,"V1131","glmnet","AUC",2019
"150",1,0,1,"V1132","glmnet","AUC",2019
"151",1,0,1,"V1133","glmnet","AUC",2019
"152",1,0,1,"V1134","glmnet","AUC",2019
"153",1,0,1,"V1135","glmnet","AUC",2019
"154",1,0,1,"V1136","glmnet","AUC",2019
"155",1,0,1,"V1137","glmnet","AUC",2019
"156",1,0,1,"V1138","glmnet","AUC",2019
"157",1,0,1,"V1139","glmnet","AUC",2019
"158",1,0,1,"V114","glmnet","AUC",2019
"159",1,0,1,"V1140","glmnet","AUC",2019
"160",1,0,1,"V1141","glmnet","AUC",2019
"161",1,0,1,"V1142","glmnet","AUC",2019
"162",1,0,1,"V1143","glmnet","AUC",2019
"163",1,0,1,"V1144","glmnet","AUC",2019
"164",1,0,1,"V1145","glmnet","AUC",2019
"165",1,0,1,"V1146","glmnet","AUC",2019
"166",1,0,1,"V1147","glmnet","AUC",2019
"167",1,0,1,"V1148","glmnet","AUC",2019
"168",1,0,1,"V1149","glmnet","AUC",2019
"169",1,0,1,"V115","glmnet","AUC",2019
"170",1,0,1,"V1150","glmnet","AUC",2019
"171",1,0,1,"V1151","glmnet","AUC",2019
"172",1,0,1,"V1152","glmnet","AUC",2019
"173",1,0,1,"V1153","glmnet","AUC",2019
"174",1,0,1,"V1154","glmnet","AUC",2019
"175",1,0,1,"V1155","glmnet","AUC",2019
"176",1,0,1,"V1156","glmnet","AUC",2019
"177",1,0,1,"V1157","glmnet","AUC",2019
"178",1,0,1,"V1158","glmnet","AUC",2019
"179",1,0,1,"V1159","glmnet","AUC",2019
"180",1,0,1,"V116","glmnet","AUC",2019
"181",1,0,1,"V1160","glmnet","AUC",2019
"182",1,0,1,"V1161","glmnet","AUC",2019
"183",1,0,1,"V1162","glmnet","AUC",2019
"184",1,0,1,"V1163","glmnet","AUC",2019
"185",1,0,1,"V1164","glmnet","AUC",2019
"186",1,0,1,"V1165","glmnet","AUC",2019
"187",1,0,1,"V1166","glmnet","AUC",2019
"188",1,0,1,"V1167","glmnet","AUC",2019
"189",1,0,1,"V1168","glmnet","AUC",2019
"190",1,0,1,"V1169","glmnet","AUC",2019
"191",1,0,1,"V117","glmnet","AUC",2019
"192",1,0,1,"V1170","glmnet","AUC",2019
"193",1,0,1,"V1171","glmnet","AUC",2019
"194",1,0,1,"V1172","glmnet","AUC",2019
"195",1,0,1,"V1173","glmnet","AUC",2019
"196",1,0,1,"V1174","glmnet","AUC",2019
"197",1,0,1,"V1175","glmnet","AUC",2019
"198",1,0,1,"V1176","glmnet","AUC",2019
"199",1,0,1,"V1177","glmnet","AUC",2019
"200",1,0,1,"V1178","glmnet","AUC",2019
"201",1,0,1,"V1179","glmnet","AUC",2019
"202",1,0,1,"V118","glmnet","AUC",2019
"203",1,0,1,"V1180","glmnet","AUC",2019
"204",1,0,1,"V1181","glmnet","AUC",2019
"205",1,0,1,"V1182","glmnet","AUC",2019
"206",1,0,1,"V1183","glmnet","AUC",2019
"207",1,0,1,"V1184","glmnet","AUC",2019
"208",1,0,1,"V1185","glmnet","AUC",2019
"209",1,0,1,"V1186","glmnet","AUC",2019
"210",1,0,1,"V1187","glmnet","AUC",2019
"211",1,0,1,"V1188","glmnet","AUC",2019
"212",1,0,1,"V1189","glmnet","AUC",2019
"213",1,0,1,"V119","glmnet","AUC",2019
"214",1,0,1,"V1190","glmnet","AUC",2019
"215",1,0,1,"V1191","glmnet","AUC",2019
"216",1,0,1,"V1192","glmnet","AUC",2019
"217",1,0,1,"V1193","glmnet","AUC",2019
"218",1,0,1,"V1194","glmnet","AUC",2019
"219",1,0,1,"V1195","glmnet","AUC",2019
"220",1,0,1,"V1196","glmnet","AUC",2019
"221",1,0,1,"V1197","glmnet","AUC",2019
"222",1,0,1,"V1198","glmnet","AUC",2019
"223",1,0,1,"V1199","glmnet","AUC",2019
"224",1,0,1,"V12","glmnet","AUC",2019
"225",1,0,1,"V120","glmnet","AUC",2019
"226",1,0,1,"V1200","glmnet","AUC",2019
"227",1,0,1,"V1201","glmnet","AUC",2019
"228",1,0,1,"V1202","glmnet","AUC",2019
"229",1,0,1,"V1203","glmnet","AUC",2019
"230",1,0,1,"V1204","glmnet","AUC",2019
"231",1,0,1,"V1205","glmnet","AUC",2019
"232",1,0,1,"V1206","glmnet","AUC",2019
"233",1,0,1,"V1207","glmnet","AUC",2019
"234",1,0,1,"V1208","glmnet","AUC",2019
"235",1,0,1,"V1209","glmnet","AUC",2019
"236",1,0,1,"V121","glmnet","AUC",2019
"237",1,0,1,"V1210","glmnet","AUC",2019
"238",1,0,1,"V1211","glmnet","AUC",2019
"239",1,0,1,"V1212","glmnet","AUC",2019
"240",1,0,1,"V1213","glmnet","AUC",2019
"241",1,0,1,"V1214","glmnet","AUC",2019
"242",1,0,1,"V1215","glmnet","AUC",2019
"243",1,0,1,"V1216","glmnet","AUC",2019
"244",1,0,1,"V1217","glmnet","AUC",2019
"245",1,0,1,"V1218","glmnet","AUC",2019
"246",1,0,1,"V1219","glmnet","AUC",2019
"247",1,0,1,"V122","glmnet","AUC",2019
"248",1,0,1,"V1220","glmnet","AUC",2019
"249",1,0,1,"V1221","glmnet","AUC",2019
"250",1,0,1,"V1222","glmnet","AUC",2019
"251",1,0,1,"V1223","glmnet","AUC",2019
"252",1,0,1,"V1224","glmnet","AUC",2019
"253",1,0,1,"V1225","glmnet","AUC",2019
"254",1,0,1,"V1226","glmnet","AUC",2019
"255",1,0,1,"V1227","glmnet","AUC",2019
"256",1,0,1,"V1228","glmnet","AUC",2019
"257",1,0,1,"V1229","glmnet","AUC",2019
"258",1,0,1,"V123","glmnet","AUC",2019
"259",1,0,1,"V1230","glmnet","AUC",2019
"260",1,0,1,"V1231","glmnet","AUC",2019
"261",1,0,1,"V1232","glmnet","AUC",2019
"262",1,0,1,"V1233","glmnet","AUC",2019
"263",1,0,1,"V1234","glmnet","AUC",2019
"264",1,0,1,"V1235","glmnet","AUC",2019
"265",1,0,1,"V1236","glmnet","AUC",2019
"266",1,0,1,"V1237","glmnet","AUC",2019
"267",1,0,1,"V1238","glmnet","AUC",2019
"268",1,0,1,"V1239","glmnet","AUC",2019
"269",1,0,1,"V124","glmnet","AUC",2019
"270",1,0,1,"V1240","glmnet","AUC",2019
"271",1,0,1,"V1241","glmnet","AUC",2019
"272",1,0,1,"V1242","glmnet","AUC",2019
"273",1,0,1,"V1243","glmnet","AUC",2019
"274",1,0,1,"V1244","glmnet","AUC",2019
"275",1,0,1,"V1245","glmnet","AUC",2019
"276",1,0,1,"V1246","glmnet","AUC",2019
"277",1,0,1,"V1247","glmnet","AUC",2019
"278",1,0,1,"V1248","glmnet","AUC",2019
"279",1,0,1,"V1249","glmnet","AUC",2019
"280",1,0,1,"V125","glmnet","AUC",2019
"281",1,0,1,"V1250","glmnet","AUC",2019
"282",1,0,1,"V1251","glmnet","AUC",2019
"283",1,0,1,"V1252","glmnet","AUC",2019
"284",1,0,1,"V1253","glmnet","AUC",2019
"285",1,0,1,"V1254","glmnet","AUC",2019
"286",1,0,1,"V1255","glmnet","AUC",2019
"287",1,0,1,"V1256","glmnet","AUC",2019
"288",1,0,1,"V1257","glmnet","AUC",2019
"289",1,0,1,"V1258","glmnet","AUC",2019
"290",1,0,1,"V1259","glmnet","AUC",2019
"291",1,0,1,"V126","glmnet","AUC",2019
"292",1,0,1,"V1260","glmnet","AUC",2019
"293",1,0,1,"V1261","glmnet","AUC",2019
"294",1,0,1,"V1262","glmnet","AUC",2019
"295",1,0,1,"V1263","glmnet","AUC",2019
"296",1,0,1,"V1264","glmnet","AUC",2019
"297",1,0,1,"V1265","glmnet","AUC",2019
"298",1,0,1,"V1266","glmnet","AUC",2019
"299",1,0,1,"V1267","glmnet","AUC",2019
"300",1,0,1,"V1268","glmnet","AUC",2019
"301",1,0,1,"V1269","glmnet","AUC",2019
"302",1,0,1,"V127","glmnet","AUC",2019
"303",1,0,1,"V1270","glmnet","AUC",2019
"304",1,0,1,"V1271","glmnet","AUC",2019
"305",1,0,1,"V1272","glmnet","AUC",2019
"306",1,0,1,"V1273","glmnet","AUC",2019
"307",1,0,1,"V1274","glmnet","AUC",2019
"308",1,0,1,"V1275","glmnet","AUC",2019
"309",1,0,1,"V1276","glmnet","AUC",2019
"310",1,0,1,"V1277","glmnet","AUC",2019
"311",1,0,1,"V1278","glmnet","AUC",2019
"312",1,0,1,"V1279","glmnet","AUC",2019
"313",1,0,1,"V128","glmnet","AUC",2019
"314",1,0,1,"V1280","glmnet","AUC",2019
"315",1,0,1,"V1281","glmnet","AUC",2019
"316",1,0,1,"V1282","glmnet","AUC",2019
"317",1,0,1,"V1283","glmnet","AUC",2019
"318",1,0,1,"V1284","glmnet","AUC",2019
"319",1,0,1,"V1285","glmnet","AUC",2019
"320",1,0,1,"V1286","glmnet","AUC",2019
"321",1,0,1,"V1287","glmnet","AUC",2019
"322",1,0,1,"V1288","glmnet","AUC",2019
"323",1,0,1,"V1289","glmnet","AUC",2019
"324",1,0,1,"V129","glmnet","AUC",2019
"325",1,0,1,"V1290","glmnet","AUC",2019
"326",1,0,1,"V1291","glmnet","AUC",2019
"327",1,0,1,"V1292","glmnet","AUC",2019
"328",1,0,1,"V1293","glmnet","AUC",2019
"329",1,0,1,"V1294","glmnet","AUC",2019
"330",1,0,1,"V1295","glmnet","AUC",2019
"331",1,0,1,"V1296","glmnet","AUC",2019
"332",1,0,1,"V1297","glmnet","AUC",2019
"333",1,0,1,"V1298","glmnet","AUC",2019
"334",1,0,1,"V1299","glmnet","AUC",2019
"335",1,0,1,"V13","glmnet","AUC",2019
"336",1,0,1,"V130","glmnet","AUC",2019
"337",1,0,1,"V1300","glmnet","AUC",2019
"338",1,0,1,"V1301","glmnet","AUC",2019
"339",1,0,1,"V1302","glmnet","AUC",2019
"340",1,0,1,"V1303","glmnet","AUC",2019
"341",1,0,1,"V1304","glmnet","AUC",2019
"342",1,0,1,"V1305","glmnet","AUC",2019
"343",1,0,1,"V1306","glmnet","AUC",2019
"344",1,0,1,"V1307","glmnet","AUC",2019
"345",1,0,1,"V1308","glmnet","AUC",2019
"346",1,0,1,"V1309","glmnet","AUC",2019
"347",1,0,1,"V131","glmnet","AUC",2019
"348",1,0,1,"V1310","glmnet","AUC",2019
"349",1,0,1,"V1311","glmnet","AUC",2019
"350",1,0,1,"V1312","glmnet","AUC",2019
"351",1,0,1,"V1313","glmnet","AUC",2019
"352",1,0,1,"V1314","glmnet","AUC",2019
"353",1,0,1,"V1315","glmnet","AUC",2019
"354",1,0,1,"V1316","glmnet","AUC",2019
"355",1,0,1,"V1317","glmnet","AUC",2019
"356",1,0,1,"V1318","glmnet","AUC",2019
"357",1,0,1,"V1319","glmnet","AUC",2019
"358",1,0,1,"V132","glmnet","AUC",2019
"359",1,0,1,"V1320","glmnet","AUC",2019
"360",1,0,1,"V1321","glmnet","AUC",2019
"361",1,0,1,"V1322","glmnet","AUC",2019
"362",1,0,1,"V1323","glmnet","AUC",2019
"363",1,0,1,"V1324","glmnet","AUC",2019
"364",1,0,1,"V1325","glmnet","AUC",2019
"365",1,0,1,"V1326","glmnet","AUC",2019
"366",1,0,1,"V1327","glmnet","AUC",2019
"367",1,0,1,"V1328","glmnet","AUC",2019
"368",1,0,1,"V1329","glmnet","AUC",2019
"369",1,0,1,"V133","glmnet","AUC",2019
"370",1,0,1,"V1330","glmnet","AUC",2019
"371",1,0,1,"V1331","glmnet","AUC",2019
"372",1,0,1,"V1332","glmnet","AUC",2019
"373",1,0,1,"V1333","glmnet","AUC",2019
"374",1,0,1,"V1334","glmnet","AUC",2019
"375",1,0,1,"V1335","glmnet","AUC",2019
"376",1,0,1,"V1336","glmnet","AUC",2019
"377",1,0,1,"V1337","glmnet","AUC",2019
"378",1,0,1,"V1338","glmnet","AUC",2019
"379",1,0,1,"V1339","glmnet","AUC",2019
"380",1,0,1,"V134","glmnet","AUC",2019
"381",1,0,1,"V1340","glmnet","AUC",2019
"382",1,0,1,"V1341","glmnet","AUC",2019
"383",1,0,1,"V1342","glmnet","AUC",2019
"384",1,0,1,"V1343","glmnet","AUC",2019
"385",1,0,1,"V1344","glmnet","AUC",2019
"386",1,0,1,"V1345","glmnet","AUC",2019
"387",1,0,1,"V1346","glmnet","AUC",2019
"388",1,0,1,"V1347","glmnet","AUC",2019
"389",1,0,1,"V1348","glmnet","AUC",2019
"390",1,0,1,"V1349","glmnet","AUC",2019
"391",1,0,1,"V135","glmnet","AUC",2019
"392",1,0,1,"V1350","glmnet","AUC",2019
"393",1,0,1,"V1351","glmnet","AUC",2019
"394",1,0,1,"V1352","glmnet","AUC",2019
"395",1,0,1,"V1353","glmnet","AUC",2019
"396",1,0,1,"V1354","glmnet","AUC",2019
"397",1,0,1,"V1355","glmnet","AUC",2019
"398",1,0,1,"V1356","glmnet","AUC",2019
"399",1,0,1,"V1357","glmnet","AUC",2019
"400",1,0,1,"V1358","glmnet","AUC",2019
"401",1,0,1,"V1359","glmnet","AUC",2019
"402",1,0,1,"V136","glmnet","AUC",2019
"403",1,0,1,"V1360","glmnet","AUC",2019
"404",1,0,1,"V1361","glmnet","AUC",2019
"405",1,0,1,"V1362","glmnet","AUC",2019
"406",1,0,1,"V1363","glmnet","AUC",2019
"407",1,0,1,"V1364","glmnet","AUC",2019
"408",1,0,1,"V1365","glmnet","AUC",2019
"409",1,0,1,"V1366","glmnet","AUC",2019
"410",1,0,1,"V1367","glmnet","AUC",2019
"411",1,0,1,"V1368","glmnet","AUC",2019
"412",1,0,1,"V1369","glmnet","AUC",2019
"413",1,0,1,"V137","glmnet","AUC",2019
"414",1,0,1,"V1370","glmnet","AUC",2019
"415",1,0,1,"V1371","glmnet","AUC",2019
"416",1,0,1,"V1372","glmnet","AUC",2019
"417",1,0,1,"V1373","glmnet","AUC",2019
"418",1,0,1,"V1374","glmnet","AUC",2019
"419",1,0,1,"V1375","glmnet","AUC",2019
"420",1,0,1,"V1376","glmnet","AUC",2019
"421",1,0,1,"V1377","glmnet","AUC",2019
"422",1,0,1,"V1378","glmnet","AUC",2019
"423",1,0,1,"V1379","glmnet","AUC",2019
"424",1,0,1,"V138","glmnet","AUC",2019
"425",1,0,1,"V1380","glmnet","AUC",2019
"426",1,0,1,"V1381","glmnet","AUC",2019
"427",1,0,1,"V1382","glmnet","AUC",2019
"428",1,0,1,"V1383","glmnet","AUC",2019
"429",1,0,1,"V1384","glmnet","AUC",2019
"430",1,0,1,"V1385","glmnet","AUC",2019
"431",1,0,1,"V1386","glmnet","AUC",2019
"432",1,0,1,"V1387","glmnet","AUC",2019
"433",1,0,1,"V1388","glmnet","AUC",2019
"434",1,0,1,"V1389","glmnet","AUC",2019
"435",1,0,1,"V139","glmnet","AUC",2019
"436",1,0,1,"V1390","glmnet","AUC",2019
"437",1,0,1,"V1391","glmnet","AUC",2019
"438",1,0,1,"V1392","glmnet","AUC",2019
"439",1,0,1,"V1393","glmnet","AUC",2019
"440",1,0,1,"V1394","glmnet","AUC",2019
"441",1,0,1,"V1395","glmnet","AUC",2019
"442",1,0,1,"V1396","glmnet","AUC",2019
"443",1,0,1,"V1397","glmnet","AUC",2019
"444",1,0,1,"V1398","glmnet","AUC",2019
"445",1,0,1,"V1399","glmnet","AUC",2019
"446",1,0,1,"V14","glmnet","AUC",2019
"447",1,0,1,"V140","glmnet","AUC",2019
"448",1,0,1,"V1400","glmnet","AUC",2019
"449",1,0,1,"V1401","glmnet","AUC",2019
"450",1,0,1,"V1402","glmnet","AUC",2019
"451",1,0,1,"V1403","glmnet","AUC",2019
"452",1,0,1,"V1404","glmnet","AUC",2019
"453",1,0,1,"V1405","glmnet","AUC",2019
"454",1,0,1,"V1406","glmnet","AUC",2019
"455",1,0,1,"V1407","glmnet","AUC",2019
"456",1,0,1,"V1408","glmnet","AUC",2019
"457",1,0,1,"V1409","glmnet","AUC",2019
"458",1,0,1,"V141","glmnet","AUC",2019
"459",1,0,1,"V1410","glmnet","AUC",2019
"460",1,0,1,"V1411","glmnet","AUC",2019
"461",1,0,1,"V1412","glmnet","AUC",2019
"462",1,0,1,"V1413","glmnet","AUC",2019
"463",1,0,1,"V1414","glmnet","AUC",2019
"464",1,0,1,"V1415","glmnet","AUC",2019
"465",1,0,1,"V1416","glmnet","AUC",2019
"466",1,0,1,"V1417","glmnet","AUC",2019
"467",1,0,1,"V1418","glmnet","AUC",2019
"468",1,0,1,"V1419","glmnet","AUC",2019
"469",1,0,1,"V142","glmnet","AUC",2019
"470",1,0,1,"V1420","glmnet","AUC",2019
"471",1,0,1,"V1421","glmnet","AUC",2019
"472",1,0,1,"V1422","glmnet","AUC",2019
"473",1,0,1,"V1423","glmnet","AUC",2019
"474",1,0,1,"V1424","glmnet","AUC",2019
"475",1,0,1,"V1425","glmnet","AUC",2019
"476",1,0,1,"V1426","glmnet","AUC",2019
"477",1,0,1,"V1427","glmnet","AUC",2019
"478",1,0,1,"V1428","glmnet","AUC",2019
"479",1,0,1,"V1429","glmnet","AUC",2019
"480",1,0,1,"V143","glmnet","AUC",2019
"481",1,0,1,"V1430","glmnet","AUC",2019
"482",1,0,1,"V1431","glmnet","AUC",2019
"483",1,0,1,"V1432","glmnet","AUC",2019
"484",1,0,1,"V1433","glmnet","AUC",2019
"485",1,0,1,"V1434","glmnet","AUC",2019
"486",1,0,1,"V1435","glmnet","AUC",2019
"487",1,0,1,"V1436","glmnet","AUC",2019
"488",1,0,1,"V1437","glmnet","AUC",2019
"489",1,0,1,"V1438","glmnet","AUC",2019
"490",1,0,1,"V1439","glmnet","AUC",2019
"491",1,0,1,"V144","glmnet","AUC",2019
"492",1,0,1,"V1440","glmnet","AUC",2019
"493",1,0,1,"V1441","glmnet","AUC",2019
"494",1,0,1,"V1442","glmnet","AUC",2019
"495",1,0,1,"V1443","glmnet","AUC",2019
"496",1,0,1,"V1444","glmnet","AUC",2019
"497",1,0,1,"V1445","glmnet","AUC",2019
"498",1,0,1,"V1446","glmnet","AUC",2019
"499",1,0,1,"V1447","glmnet","AUC",2019
"500",1,0,1,"V1448","glmnet","AUC",2019
"501",1,0,1,"V1449","glmnet","AUC",2019
"502",1,0,1,"V145","glmnet","AUC",2019
"503",1,0,1,"V1450","glmnet","AUC",2019
"504",1,0,1,"V1451","glmnet","AUC",2019
"505",1,0,1,"V1452","glmnet","AUC",2019
"506",1,0,1,"V1453","glmnet","AUC",2019
"507",1,0,1,"V1454","glmnet","AUC",2019
"508",1,0,1,"V1455","glmnet","AUC",2019
"509",1,0,1,"V1456","glmnet","AUC",2019
"510",1,0,1,"V1457","glmnet","AUC",2019
"511",1,0,1,"V1458","glmnet","AUC",2019
"512",1,0,1,"V1459","glmnet","AUC",2019
"513",1,0,1,"V146","glmnet","AUC",2019
"514",1,0,1,"V1460","glmnet","AUC",2019
"515",1,0,1,"V1461","glmnet","AUC",2019
"516",1,0,1,"V1462","glmnet","AUC",2019
"517",1,0,1,"V1463","glmnet","AUC",2019
"518",1,0,1,"V1464","glmnet","AUC",2019
"519",1,0,1,"V1465","glmnet","AUC",2019
"520",1,0,1,"V1466","glmnet","AUC",2019
"521",1,0,1,"V1467","glmnet","AUC",2019
"522",1,0,1,"V1468","glmnet","AUC",2019
"523",1,0,1,"V1469","glmnet","AUC",2019
"524",1,0,1,"V147","glmnet","AUC",2019
"525",1,0,1,"V1470","glmnet","AUC",2019
"526",1,0,1,"V1471","glmnet","AUC",2019
"527",1,0,1,"V1472","glmnet","AUC",2019
"528",1,0,1,"V1473","glmnet","AUC",2019
"529",1,0,1,"V1474","glmnet","AUC",2019
"530",1,0,1,"V1475","glmnet","AUC",2019
"531",1,0,1,"V1476","glmnet","AUC",2019
"532",1,0,1,"V1477","glmnet","AUC",2019
"533",1,0,1,"V1478","glmnet","AUC",2019
"534",1,0,1,"V1479","glmnet","AUC",2019
"535",1,0,1,"V148","glmnet","AUC",2019
"536",1,0,1,"V1480","glmnet","AUC",2019
"537",1,0,1,"V1481","glmnet","AUC",2019
